id,x,y
110,411666.1228,6080495.863
111,415666.1228,6080495.863
112,419666.1228,6080495.863
113,423666.1228,6080495.863
114,427666.1228,6080495.863
115,431666.1228,6080495.863
178,403666.1228,6076495.863
179,407666.1228,6076495.863
180,411666.1228,6076495.863
181,415666.1228,6076495.863
182,419666.1228,6076495.863
183,423666.1228,6076495.863
184,427666.1228,6076495.863
185,431666.1228,6076495.863
186,435666.1228,6076495.863
187,439666.1228,6076495.863
247,399666.1228,6072495.863
248,403666.1228,6072495.863
249,407666.1228,6072495.863
250,411666.1228,6072495.863
251,415666.1228,6072495.863
252,419666.1228,6072495.863
253,423666.1228,6072495.863
254,427666.1228,6072495.863
255,431666.1228,6072495.863
256,435666.1228,6072495.863
257,439666.1228,6072495.863
258,443666.1228,6072495.863
259,447666.1228,6072495.863
316,395666.1228,6068495.863
317,399666.1228,6068495.863
318,403666.1228,6068495.863
319,407666.1228,6068495.863
320,411666.1228,6068495.863
321,415666.1228,6068495.863
322,419666.1228,6068495.863
323,423666.1228,6068495.863
324,427666.1228,6068495.863
325,431666.1228,6068495.863
326,435666.1228,6068495.863
327,439666.1228,6068495.863
328,443666.1228,6068495.863
329,447666.1228,6068495.863
330,451666.1228,6068495.863
385,391666.1228,6064495.863
386,395666.1228,6064495.863
387,399666.1228,6064495.863
388,403666.1228,6064495.863
389,407666.1228,6064495.863
390,411666.1228,6064495.863
391,415666.1228,6064495.863
392,419666.1228,6064495.863
393,423666.1228,6064495.863
394,427666.1228,6064495.863
395,431666.1228,6064495.863
396,435666.1228,6064495.863
397,439666.1228,6064495.863
398,443666.1228,6064495.863
399,447666.1228,6064495.863
400,451666.1228,6064495.863
454,387666.1228,6060495.863
455,391666.1228,6060495.863
456,395666.1228,6060495.863
457,399666.1228,6060495.863
458,403666.1228,6060495.863
459,407666.1228,6060495.863
460,411666.1228,6060495.863
461,415666.1228,6060495.863
462,419666.1228,6060495.863
463,423666.1228,6060495.863
464,427666.1228,6060495.863
465,431666.1228,6060495.863
466,435666.1228,6060495.863
467,439666.1228,6060495.863
468,443666.1228,6060495.863
469,447666.1228,6060495.863
470,451666.1228,6060495.863
471,455666.1228,6060495.863
524,387666.1228,6056495.863
