id	x	y
52	610012.6631	5689244.863
53	614012.6631	5689244.863
54	618012.6631	5689244.863
55	622012.6631	5689244.863
56	626012.6631	5689244.863
57	630012.6631	5689244.863
58	634012.6631	5689244.863
59	638012.6631	5689244.863
60	642012.6631	5689244.863
61	646012.6631	5689244.863
62	650012.6631	5689244.863
63	654012.6631	5689244.863
91	602012.6631	5685244.863
92	606012.6631	5685244.863
93	610012.6631	5685244.863
94	614012.6631	5685244.863
95	618012.6631	5685244.863
96	622012.6631	5685244.863
97	626012.6631	5685244.863
98	630012.6631	5685244.863
99	634012.6631	5685244.863
100	638012.6631	5685244.863
101	642012.6631	5685244.863
102	646012.6631	5685244.863
103	650012.6631	5685244.863
104	654012.6631	5685244.863
105	658012.6631	5685244.863
106	662012.6631	5685244.863
107	666012.6631	5685244.863
131	598012.6631	5681244.863
132	602012.6631	5681244.863
133	606012.6631	5681244.863
134	610012.6631	5681244.863
135	614012.6631	5681244.863
136	618012.6631	5681244.863
137	622012.6631	5681244.863
138	626012.6631	5681244.863
139	630012.6631	5681244.863
140	634012.6631	5681244.863
141	638012.6631	5681244.863
142	642012.6631	5681244.863
143	646012.6631	5681244.863
144	650012.6631	5681244.863
145	654012.6631	5681244.863
146	658012.6631	5681244.863
147	662012.6631	5681244.863
148	666012.6631	5681244.863
149	670012.6631	5681244.863
150	674012.6631	5681244.863
171	594012.6631	5677244.863
172	598012.6631	5677244.863
173	602012.6631	5677244.863
174	606012.6631	5677244.863
175	610012.6631	5677244.863
176	614012.6631	5677244.863
177	618012.6631	5677244.863
178	622012.6631	5677244.863
179	626012.6631	5677244.863
180	630012.6631	5677244.863
181	634012.6631	5677244.863
182	638012.6631	5677244.863
183	642012.6631	5677244.863
184	646012.6631	5677244.863
185	650012.6631	5677244.863
186	654012.6631	5677244.863
187	658012.6631	5677244.863
188	662012.6631	5677244.863
189	666012.6631	5677244.863
190	670012.6631	5677244.863
191	674012.6631	5677244.863
192	678012.6631	5677244.863
211	590012.6631	5673244.863
212	594012.6631	5673244.863
213	598012.6631	5673244.863
214	602012.6631	5673244.863
215	606012.6631	5673244.863
216	610012.6631	5673244.863
217	614012.6631	5673244.863
218	618012.6631	5673244.863
219	622012.6631	5673244.863
220	626012.6631	5673244.863
221	630012.6631	5673244.863
222	634012.6631	5673244.863
223	638012.6631	5673244.863
224	642012.6631	5673244.863
225	646012.6631	5673244.863
226	650012.6631	5673244.863
227	654012.6631	5673244.863
228	658012.6631	5673244.863
229	662012.6631	5673244.863
230	666012.6631	5673244.863
231	670012.6631	5673244.863
232	674012.6631	5673244.863
233	678012.6631	5673244.863
252	590012.6631	5669244.863
253	594012.6631	5669244.863
254	598012.6631	5669244.863
255	602012.6631	5669244.863
256	606012.6631	5669244.863
257	610012.6631	5669244.863
258	614012.6631	5669244.863
259	618012.6631	5669244.863
260	622012.6631	5669244.863
261	626012.6631	5669244.863
262	630012.6631	5669244.863
263	634012.6631	5669244.863
